S. NO,LOT,NAME,COUNTRY,Rtm available ,BASE PRICE,Set,MAT,INNS,NO,RUNS,HS,AVG,BF,SR,100s,50s,4s,6s,INNS,B,RUNS,WKTS,ECON,AVG,SR,4W,5W,Sale Price,Team
1,1,R. Ashwin,India,RR,200,MARQUEE,184,75,27,647,50,13.5,550,117.6,0,1,51,21,181,3900,4534,157,6.97,28.9,24.8,1,0,,
2,1,M.S.Dhoni,India,CSK,200,MARQUEE,234,206,79,4978,84*,39.19,3682,135.19,0,24,346,229,-,-,-,-,-,-,-,-,-,,
3,1,KL Rahul,India,LSG,200,MARQUEE,109,100,19,3889,132*,48.01,2855,136.21,4,31,327,164,-,-,-,-,-,-,-,-,-,,
4,1,Rishabh Pant ,India,DC,200,MARQUEE,98,97,15,2838,128*,34.6,1918,147.96,1,15,260,129,-,-,-,-,-,-,-,-,-,,
5,1,Sanju Samson,India,RR,200,MARQUEE,138,134,13,3526,119,29.14,2598,135.71,3,17,279,158,-,-,-,-,-,-,-,-,-,,
6,1,Ravindra Jadeja,India ,CSK,200,MARQUEE,210,161,67,2502,62*,26.61,1960,127.65,0,2,182,90,181,3205,4064,132,7.6,30.8,24.3,3,1,,
7,1,Hardik Pandya,India ,GT,200,MARQUEE,107,100,35,1963,91,30.2,1330,147.59,0,8,146,110,70,1052,1535,50,8.75,30.7,21,0,0,,
8,1,Virat Kohli ,India ,RCB,200,MARQUEE,223,215,32,6624,113,36.19,5129,129.14,5,44,578,218,26,251,368,4,8.79,92,62.8,0,0,,
9,1,Suryakumar Yadav,India ,MI,200,MARQUEE,123,108,20,2644,82,30.04,1933,136.78,0,16,284,84,1,6,8,0,8,-,-,0,0,,
10,1,Yuzvendra Chahal ,India ,RR,200,MARQUEE,131,20,13,37,8*,5.3,86,43,0,0,0,0,130,2856,3624,166,7.61,21.8,17.2,3,1,,
11,1,Rohit Sharma,India,MI,200,MARQUEE,227,222,28,5879,109*,30.3,4526,129.89,1,40,519,240,32,339,453,15,8.01,30.2,22.6,1,0,,
12,1,Jasprit Bumrah ,India ,MI,200,MARQUEE,120,26,19,56,16*,8,66,84.8,0,0,4,1,120,2742,3380,145,7.39,23.3,18.9,2,1,,
13,1,Shikhar Dhawan ,India ,PBKS,200,MARQUEE,206,205,27,6244,106*,35.07,4942,126.34,2,47,701,136,6,48,66,4,8.25,16.5,12,0,0,,
14,1,Kagiso Rabada ,South Africa,PBKS,200,MARQUEE,63,26,11,186,44,12.4,177,105.1,0,0,16,6,63,1428,1966,99,8.26,19.9,14.4,6,0,,
15,1,Jos Buttler ,England,RR,200,MARQUEE,82,81,10,2831,124,39.87,1891,149.7,5,15,277,135,-,-,-,-,-,-,-,-,-,,
16,1,Andre Russel ,West Indies,KKR,200,MARQUEE,98,82,15,2035,88*,30.37,1144,177.88,0,10,137,175,89,1430,2179,89,9.14,24.5,16.1,2,1,,
17,1,Ishan Kishan,India,MI,200,MARQUEE,75,70,6,1870,99,29.2,1413,132.3,0,12,166,85,-,-,-,-,-,-,-,-,-,,
18,1,Rashid Khan,Afghanistan,GT,200,MARQUEE,92,43,15,313,40,11.2,206,151.9,0,0,20,22,92,2195,2333,112,6.37,20.8,19.6,1,0,,
19,1,David Warner ,Australia ,DC,200,MARQUEE,162,162,22,5881,126,42,4180,140.69,4,55,577,216,-,-,-,-,-,-,-,-,-,,
224,1,Glenn Maxwell,Australia,RCB,200,MARQUEE,110,106,15,2319,95,25.5,1507,153.9,0,13,197,127,66,786,1080,28,8.24,38.6,28.1,0,0,,
20,1,Kane Williamson,New Zealand,SRH,200,MARQUEE,76,75,17,2101,89,36.22,1667,126.03,0,18,181,64,2,18,31,0,10.33,-,-,0,0,,
21,1,Sunil Narine,West Indies,KKR,200,MARQUEE,148,86,17,1025,75,14.8,630,162.7,0,4,112,63,147,3457,3820,152,6.63,25.1,22.7,7,1,,
22,1,Sam Curran,England,_,200,MARQUEE,32,23,8,337,55*,22.5,225,149.8,0,2,30,18,31,648,995,32,9.21,31.1,20.2,1,0,,
23,1,Ben Stokes,England,_,200,MARQUEE,43,42,6,920,107*,25.6,684,134.5,2,2,79,32,37,683,974,28,8.55,34.8,24.4,0,0,,
24,2,Prithvi Shaw,India,DC,200,BATSMEN 1,63,63,0,1588,99,25.2,1077,147.4,0,12,192,55,-,-,-,-,-,-,-,-,-,,
25,2,Devdutt Padikkal,India,RR,200,BATSMEN 1,46,46,1,1260,74,28,1013,124.4,1,7,135,36,-,-,-,-,-,-,-,-,-,,
26,2,Ruturaj Gaikwad ,India ,CSK,100,BATSMEN 1,36,36,4,1207,99,37.7,926,130.3,1,10,113,43,-,-,-,-,-,-,-,-,-,,
27,2,Manish Pandey,India,LSG,100,BATSMEN 1,160,149,27,3648,114*,29.9,3002,121.51,1,21,318,105,-,-,-,-,-,-,-,-,-,,
28,2,Mayank Agarwal,India,PBKS,100,BATSMEN 1,113,107,4,2327,106,22.59,1733,134.27,1,12,226,91,-,-,-,-,-,-,-,-,-,,
29,2,Ajinkya Rahane,India,KKR,100,BATSMEN 1,77,73,6,1879,8,28,1543,121.8,1,11,200,38,-,-,-,-,-,-,-,-,-,,
30,2,Shreyas iyer ,India,KKR,200,BATSMEN 1,101,101,13,2776,96,31.54,2214,125.38,0,19,237,99,-,-,-,-,-,-,-,-,-,,
31,2,Shimron Hetmyer,West Indies,RR,150,BATSMEN 1,46,44,17,831,75,30.8,546,152.2,0,3,55,52,-,-,-,-,-,-,-,-,-,,
32,2,Jason Roy,England,_,200,BATSMEN 1,13,13,2,329,91*,29.9,255,129,0,2,39,9,-,-,-,-,-,-,-,-,-,,
33,2,Faf Du Plesis ,South Africa,RCB,200,BATSMEN 1,116,109,10,3403,96,34.37,2606,130.58,0,25,314,109,-,-,-,-,-,-,-,-,-,,
34,2,Steve Smith,Australia,_,200,BATSMEN 1,57,53,9,1524,84*,34.6,1210,126,1,9,140,35,-,-,-,-,-,-,-,-,-,,
35,2,Aaron Finch,Australia,KKR,150,BATSMEN 1,92,90,7,2091,88*,25.19,1631,128.2,0,15,214,78,-,-,-,-,-,-,-,-,-,,
36,2,Aiden Markram ,South Africa,SRH,150,BATSMEN 1,20,18,5,527,68*,40.5,393,134.1,0,3,37,23,-,-,-,-,-,-,-,-,-,,
37,2,David Miller,South Africa,GT,200,BATSMEN 1,105,102,35,2455,101*,36.64,1783,137.68,1,12,169,113,-,-,-,-,-,-,-,-,-,,
38,2,Devon Conway,New Zealand,CSK,100,BATSMEN 1,7,7,1,252,87,42,173,145.7,0,3,22,12,-,-,-,-,-,-,-,-,-,,
39,2,Alex Hales,England,KKR,150,BATSMEN 1,7,7,1,252,87,42,173,145.7,0,3,22,12,-,-,-,-,-,-,-,-,-,,
40,2,Dawid Malan,England,_,150,BATSMEN 1,1,1,0,26,26,26,26,100,0,0,1,1,-,-,-,-,-,-,-,-,-,,
41,2,Evin Lewis,West Indies,LSG,200,BATSMEN 1,27,26,2,654,65,27.25,477,137.11,0,4,62,36,-,-,-,-,-,-,-,-,-,,
42,2,Martin Guptill,New Zealand,_,75,BATSMEN 1,13,13,1,270,50,22.5,196,137.76,0,1,24,15,-,-,-,-,-,-,-,-,-,,
43,3,Axar Patel,India,DC,150,ALL ROUNDERS 1,122,88,29,1135,44,19.24,881,128.83,0,0,67,54,121,2549,3083,101,7.3,30.5,25.2,1,0,,
44,3,Krunal Pandya,India,LSG,200,ALL ROUNDERS 1,98,85,26,1326,86,22.47,970,136.7,0,1,121,50,93,1670,2038,61,7.3,33.4,27.4,0,0,,
45,3,Deepak Hooda ,India ,LSG,150,ALL ROUNDERS 1,95,75,14,1236,64,20.26,936,132.05,0,7,77,56,30,349,501,10,8.6,50.1,34.9,0,0,,
46,3,Harshal Patel,India,RCB,200,ALL ROUNDERS 1,78,36,14,230,36,10.45,178,129.21,0,0,15,13,76,1580,2218,97,8.4,22.9,16.3,2,1,,
47,3,Nitish Rana,India,KKR,100,ALL ROUNDERS 1,91,85,8,2181,87,28.32,1625,134.21,0,15,190,111,18,127,177,7,8.4,25.3,18.1,0,0,,
48,3,Washington Sundar,India,SRH,150,ALL ROUNDERS 1,51,33,10,318,40,13.83,264,120.45,0,0,26,9,49,918,1106,33,7.2,33.5,27.8,0,0,,
49,3,Mitchell Santner,New Zealand,CSK,100,ALL ROUNDERS 1,12,6,3,54,22,18,50,108,0,0,3,3,12,240,277,10,6.9,27.7,24,0,0,,
50,3,Shakib Al Hasan,Bangladesh,_,200,ALL ROUNDERS 1,71,52,12,793,66,19.82,637,124.49,0,2,73,21,70,1481,1839,63,7.5,29.2,23.5,0,0,,
51,3,Wanindu Hasaranga,Sri Lanka,RCB,100,ALL ROUNDERS 1,18,9,1,39,18,4.88,45,86.67,0,0,4,1,18,378,490,26,7.7,18.85,14.54,1,1,,
52,3,Jason Holder,West Indies,LSG,150,ALL ROUNDERS 1,38,24,5,247,47,13,200,123.5,0,0,13,17,38,821,1177,49,8.6,24,16.8,1,0,,
53,3,Mitchell Marsh,Australia,DC,200,ALL ROUNDERS 1,29,23,2,476,89,22.67,386,123.32,0,2,28,28,23,338,522,24,8.1,21.8,16.2,1,0,,
54,3,Mohammad Nabi,Afghanistan,KKR,100,ALL ROUNDERS 1,17,14,2,180,31,15,119,151.26,0,0,16,9,17,343,408,13,7.1,31.4,26.4,1,0,,
55,3,Marcus Stoinis,Australia,LSG,150,ALL ROUNDERS 1,67,59,18,1070,65,26.1,779,137.36,0,4,83,48,50,551,1048,34,9.7,30.8,19.1,1,0,,
56,3,Liam Livingstone,England,PBKS,100,ALL ROUNDERS 1,23,23,3,549,70,27.45,329,166.87,0,4,38,40,13,144,215,6,9,35.8,24,0,0,,
57,3,Sikandar Raza,Zimbabwe,_,50,ALL ROUNDERS 1,66,63,3,1259,87,21,977,128.9,0,6,99,47,55,846,1013,33,7.18,26.6,22.3,1,0,,
58,3,Odean Smith,West Indies,PBKS,100,ALL ROUNDERS 1,6,6,3,51,25,17,44,115.91,0,0,1,5,6,90,178,6,11.9,29.7,15,1,0,,
59,3,Romario Shepherd,West Indies,SRH,75,ALL ROUNDERS 1,3,3,1,58,26,29,41,141.46,0,0,2,5,3,54,98,3,10.9,32.7,18,0,0,,
60,3,Moeen Ali,England,CSK,200,ALL ROUNDERS 1,44,42,3,910,93,23.33,632,143.99,0,5,76,53,37,551,627,24,6.8,26.1,23,0,0,,
61,4,Ambati Rayudu,India,CSK,200,WICKET KEEPERS 1,188,175,31,4190,100,29.1,3296,127.12,1,22,349,164,-,-,-,-,-,-,-,-,-,,
62,4,Dinesh karthik,India,RCB,200,WICKET KEEPERS 1,229,208,45,4376,97*,26.84,3299,132.64,0,20,426,134,-,-,-,-,-,-,-,-,-,,
63,4,Wriddhiman Saha,India,GT,100,WICKET KEEPERS 1,144,119,23,2427,115*,25.28,1898,127.87,1,11,231,76,-,-,-,-,-,-,-,-,-,,
64,4,Jonny Bairstow,England,PBKS,150,WICKET KEEPERS 1,39,39,3,1291,114,35.86,905,142.65,1,9,133,55,-,-,-,-,-,-,-,-,-,,
65,4,Glenn Phillips ,New Zealand,SRH,150,WICKET KEEPERS 1,3,3,1,26,14,13,33,78.79,0,0,1,2,-,-,-,-,-,-,-,-,-,,
66,4,Quinton De Kock ,South Africa,LSG,200,WICKET KEEPERS 1,92,92,6,2764,140*,32.13,2064,133.91,2,19,277,106,-,-,-,-,-,-,-,-,-,,
67,4,Sam Billings,England,KKR,200,WICKET KEEPERS 1,30,27,1,503,56,19.35,388,129.64,0,3,40,20,-,-,-,-,-,-,-,-,-,,
68,4,Tim Seifert,New Zealand,DC,50,WICKET KEEPERS 1,3,3,0,26,21,8.67,23,113.04,0,0,4,0,-,-,-,-,-,-,-,-,-,,
